Predictor_Age,Target_Age_Metric,Scenario,Total_Available_Features,AIC_Selected_Count,BIC_Selected_Count,AIC_Features,BIC_Features
Birth,6 Months (Weight),S1_S5_All_Data,7,1,1,headcirc_birth_cm,headcirc_birth_cm
Birth,6 Months (Weight),S2_No_Zscores,4,1,1,headcirc_birth_cm,headcirc_birth_cm
Birth,6 Months (Weight),S3_No_Base_Data,5,2,1,"ht_birth_zscore, height_birth_cm",ht_birth_zscore
Birth,6 Months (Weight),S4_S6_Zscore_Only,3,1,1,ht_birth_zscore,ht_birth_zscore
Birth,6 Months (Height),S1_S5_All_Data,7,2,1,"wt_birth_zscore, headcirc_birth_cm",wt_birth_zscore
Birth,6 Months (Height),S2_No_Zscores,4,2,1,"weight_birth_g, headcirc_birth_cm",weight_birth_g
Birth,6 Months (Height),S3_No_Base_Data,5,1,1,wt_birth_zscore,wt_birth_zscore
Birth,6 Months (Height),S4_S6_Zscore_Only,3,1,1,wt_birth_zscore,wt_birth_zscore
Birth,6 Months (BMI),S1_S5_All_Data,7,3,0,"headcirc_birth_cm, height_birth_cm, ht_birth_zscore",
Birth,6 Months (BMI),S2_No_Zscores,4,2,0,"headcirc_birth_cm, height_birth_cm",
Birth,6 Months (BMI),S3_No_Base_Data,5,0,0,,
Birth,6 Months (BMI),S4_S6_Zscore_Only,3,0,0,,
6 Months,12 Months (Weight),S1_S5_All_Data,8,4,1,"wt_6m_zscore, ht_6m_zscore, ht_36m_zscore, weight_6m_g",wt_6m_zscore
6 Months,12 Months (Weight),S2_No_Zscores,2,1,1,weight_6m_g,weight_6m_g
6 Months,12 Months (Weight),S3_No_Base_Data,8,4,1,"wt_6m_zscore, ht_6m_zscore, ht_36m_zscore, weight_6m_g",wt_6m_zscore
6 Months,12 Months (Weight),S4_S6_Zscore_Only,6,2,2,"wt_6m_zscore, ht_36m_zscore","wt_6m_zscore, ht_36m_zscore"
6 Months,12 Months (Height),S1_S5_All_Data,8,3,2,"ht_6m_zscore, wt_36m_zscore_Imputation, BMI_36m_zscore","ht_6m_zscore, wt_36m_zscore_Imputation"
6 Months,12 Months (Height),S2_No_Zscores,2,1,1,height_6m_cm,height_6m_cm
6 Months,12 Months (Height),S3_No_Base_Data,8,3,2,"ht_6m_zscore, wt_36m_zscore_Imputation, BMI_36m_zscore","ht_6m_zscore, wt_36m_zscore_Imputation"
6 Months,12 Months (Height),S4_S6_Zscore_Only,6,3,2,"ht_6m_zscore, wt_36m_zscore_Imputation, BMI_36m_zscore","ht_6m_zscore, wt_36m_zscore_Imputation"
