Predictor_Age,Predicted_Target,Scenario,Model,Features_Used_Count,Accuracy,Precision,Recall,F1_Score
Birth,6 Months (Weight),S1_S5_All_Data,Multinomial_Logistic,7,0.8721,0.2907,0.3333,0.3106
Birth,6 Months (Weight),S1_S5_All_Data,XGBoost_Classifier,7,0.8372,0.2892,0.32,0.3038
Birth,6 Months (Weight),S1_S5_All_Data,Support_Vector_Classifier,7,0.814,0.2917,0.3111,0.3011
Birth,6 Months (Weight),S1_S5_All_Data,Neural_Network_MLP,7,0.7907,0.2906,0.3022,0.2963
Birth,6 Months (Weight),S2_No_Zscores,Multinomial_Logistic,4,0.8721,0.2907,0.3333,0.3106
Birth,6 Months (Weight),S2_No_Zscores,XGBoost_Classifier,4,0.8488,0.2932,0.3244,0.308
Birth,6 Months (Weight),S2_No_Zscores,Support_Vector_Classifier,4,0.814,0.2917,0.3111,0.3011
Birth,6 Months (Weight),S2_No_Zscores,Neural_Network_MLP,4,0.8256,0.2958,0.3156,0.3054
Birth,6 Months (Weight),S3_No_Base_Data,Multinomial_Logistic,5,0.8721,0.2907,0.3333,0.3106
Birth,6 Months (Weight),S3_No_Base_Data,XGBoost_Classifier,5,0.8488,0.2897,0.3244,0.3061
Birth,6 Months (Weight),S3_No_Base_Data,Support_Vector_Classifier,5,0.8605,0.2902,0.3289,0.3083
Birth,6 Months (Weight),S3_No_Base_Data,Neural_Network_MLP,5,0.8256,0.2886,0.3156,0.3015
Birth,6 Months (Weight),S4_S6_Zscore_Only,Multinomial_Logistic,3,0.8721,0.2907,0.3333,0.3106
Birth,6 Months (Weight),S4_S6_Zscore_Only,XGBoost_Classifier,3,0.8488,0.2897,0.3244,0.3061
Birth,6 Months (Weight),S4_S6_Zscore_Only,Support_Vector_Classifier,3,0.8605,0.2902,0.3289,0.3083
Birth,6 Months (Weight),S4_S6_Zscore_Only,Neural_Network_MLP,3,0.814,0.2881,0.3111,0.2991
Birth,6 Months (Height),S1_S5_All_Data,Multinomial_Logistic,7,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S1_S5_All_Data,XGBoost_Classifier,7,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S1_S5_All_Data,Support_Vector_Classifier,7,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S1_S5_All_Data,Neural_Network_MLP,7,0.8837,0.392,0.3872,0.3885
Birth,6 Months (Height),S2_No_Zscores,Multinomial_Logistic,4,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S2_No_Zscores,XGBoost_Classifier,4,0.907,0.6389,0.3957,0.428
Birth,6 Months (Height),S2_No_Zscores,Support_Vector_Classifier,4,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S2_No_Zscores,Neural_Network_MLP,4,0.8837,0.3016,0.3248,0.3128
Birth,6 Months (Height),S3_No_Base_Data,Multinomial_Logistic,5,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S3_No_Base_Data,XGBoost_Classifier,5,0.8605,0.3008,0.3162,0.3083
Birth,6 Months (Height),S3_No_Base_Data,Support_Vector_Classifier,5,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S3_No_Base_Data,Neural_Network_MLP,5,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S4_S6_Zscore_Only,Multinomial_Logistic,3,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S4_S6_Zscore_Only,XGBoost_Classifier,3,0.8837,0.3016,0.3248,0.3128
Birth,6 Months (Height),S4_S6_Zscore_Only,Support_Vector_Classifier,3,0.8953,0.302,0.3291,0.3149
Birth,6 Months (Height),S4_S6_Zscore_Only,Neural_Network_MLP,3,0.8953,0.302,0.3291,0.3149
Birth,6 Months (BMI),S1_S5_All_Data,Multinomial_Logistic,7,0.8605,0.2868,0.3333,0.3083
Birth,6 Months (BMI),S1_S5_All_Data,XGBoost_Classifier,7,0.8488,0.2897,0.3288,0.308
Birth,6 Months (BMI),S1_S5_All_Data,Support_Vector_Classifier,7,0.8605,0.2902,0.3333,0.3103
Birth,6 Months (BMI),S1_S5_All_Data,Neural_Network_MLP,7,0.814,0.3467,0.3441,0.3423
Birth,6 Months (BMI),S2_No_Zscores,Multinomial_Logistic,4,0.8605,0.2868,0.3333,0.3083
Birth,6 Months (BMI),S2_No_Zscores,XGBoost_Classifier,4,0.8605,0.2868,0.3333,0.3083
Birth,6 Months (BMI),S2_No_Zscores,Support_Vector_Classifier,4,0.8605,0.2902,0.3333,0.3103
Birth,6 Months (BMI),S2_No_Zscores,Neural_Network_MLP,4,0.8372,0.2892,0.3243,0.3057
Birth,6 Months (BMI),S3_No_Base_Data,Multinomial_Logistic,5,0.8605,0.2868,0.3333,0.3083
Birth,6 Months (BMI),S3_No_Base_Data,XGBoost_Classifier,5,0.8488,0.2897,0.3288,0.308
Birth,6 Months (BMI),S3_No_Base_Data,Support_Vector_Classifier,5,0.8605,0.2902,0.3333,0.3103
Birth,6 Months (BMI),S3_No_Base_Data,Neural_Network_MLP,5,0.8605,0.2902,0.3333,0.3103
Birth,6 Months (BMI),S4_S6_Zscore_Only,Multinomial_Logistic,3,0.8605,0.2868,0.3333,0.3083
Birth,6 Months (BMI),S4_S6_Zscore_Only,XGBoost_Classifier,3,0.8488,0.2897,0.3288,0.308
Birth,6 Months (BMI),S4_S6_Zscore_Only,Support_Vector_Classifier,3,0.8605,0.2902,0.3333,0.3103
Birth,6 Months (BMI),S4_S6_Zscore_Only,Neural_Network_MLP,3,0.8605,0.2902,0.3333,0.3103
6 Months,12 Months (Weight),S1_S5_All_Data,Multinomial_Logistic,8,0.8427,0.4213,0.4067,0.411
6 Months,12 Months (Weight),S1_S5_All_Data,XGBoost_Classifier,8,0.809,0.4254,0.4713,0.4393
6 Months,12 Months (Weight),S1_S5_All_Data,Support_Vector_Classifier,8,0.8427,0.4477,0.4326,0.4387
6 Months,12 Months (Weight),S1_S5_All_Data,Neural_Network_MLP,8,0.8764,0.4974,0.5494,0.5183
6 Months,12 Months (Weight),S2_No_Zscores,Multinomial_Logistic,2,0.8652,0.4937,0.4155,0.4333
6 Months,12 Months (Weight),S2_No_Zscores,XGBoost_Classifier,2,0.8315,0.4287,0.4282,0.4281
6 Months,12 Months (Weight),S2_No_Zscores,Support_Vector_Classifier,2,0.8427,0.3979,0.3549,0.3521
6 Months,12 Months (Weight),S2_No_Zscores,Neural_Network_MLP,2,0.8427,0.4213,0.4067,0.411
