Transition_Key,Predictor_Age,Target_Age,Metric,Feature_Space,Feature_Count,Model,Accuracy,Precision,Recall,F1_Score
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,Full_Feature_Space,7,XGBoost_Classifier,0.8721,0.6225,0.4444,0.4763
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,Full_Feature_Space,7,Support_Vector_Classifier,0.8488,0.6157,0.4,0.4168
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,Full_Feature_Space,7,Neural_Network_MLP,0.8488,0.5108,0.4028,0.4185
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,AIC_Optimized_Space,1,XGBoost_Classifier,0.8488,0.4524,0.3704,0.3683
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,AIC_Optimized_Space,1,Support_Vector_Classifier,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,AIC_Optimized_Space,1,Neural_Network_MLP,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,BIC_Optimized_Space,1,XGBoost_Classifier,0.8488,0.4524,0.3704,0.3683
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S1_S5_All_Data,Birth,6Months,Weight,BIC_Optimized_Space,1,Neural_Network_MLP,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,Full_Feature_Space,4,XGBoost_Classifier,0.8605,0.7892,0.437,0.4716
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,Full_Feature_Space,4,Support_Vector_Classifier,0.8488,0.6157,0.4,0.4168
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,Full_Feature_Space,4,Neural_Network_MLP,0.8488,0.6157,0.3704,0.3724
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,AIC_Optimized_Space,1,XGBoost_Classifier,0.8488,0.4524,0.3704,0.3683
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,AIC_Optimized_Space,1,Support_Vector_Classifier,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,AIC_Optimized_Space,1,Neural_Network_MLP,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,BIC_Optimized_Space,1,XGBoost_Classifier,0.8488,0.4524,0.3704,0.3683
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S2_No_Zscores,Birth,6Months,Weight,BIC_Optimized_Space,1,Neural_Network_MLP,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,Full_Feature_Space,5,XGBoost_Classifier,0.8605,0.8442,0.4694,0.5296
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,Full_Feature_Space,5,Support_Vector_Classifier,0.8488,0.6157,0.4,0.4168
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,Full_Feature_Space,5,Neural_Network_MLP,0.8488,0.7851,0.4324,0.4771
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,AIC_Optimized_Space,2,XGBoost_Classifier,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,AIC_Optimized_Space,2,Support_Vector_Classifier,0.8488,0.6157,0.4,0.4168
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,AIC_Optimized_Space,2,Neural_Network_MLP,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,BIC_Optimized_Space,1,XGBoost_Classifier,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8488,0.6157,0.4,0.4168
Birth_to_6Months_Weight_S3_No_Base_Data,Birth,6Months,Weight,BIC_Optimized_Space,1,Neural_Network_MLP,0.8372,0.2791,0.3333,0.3038
