Feature,Avg_Correlation,Max_Correlation,Std_Correlation,Times_Used
BMI_6m_zscore,0.858620694597368,0.9999999999999999,0.3463071584255572,7
wt_6m_zscore,0.6826791131728694,0.7947695731303419,0.2745644319296775,7
BMI_18m_zscore,0.6002730171297981,0.6002730171297981,0.0,2
wt_18m_zscore,0.5535841569257202,0.5535841569257202,0.0,2
wt_12m_zscore,0.42957658908965185,0.5324823044917661,0.2058114308042287,5
ht_1y_zscore,0.2244518432064972,0.6747618345397962,0.2251549956666495,5
BMI_12m_zscore,0.20811308641028853,1.0,0.39594345679485576,5
ht_18m_zscore,0.18419719194106718,0.18419719194106718,0.0,2
wt_birth_zscore,0.0674847458488532,0.0778723769510545,0.025444395836657654,7
BMI_birth_zscore,0.062215030213125785,0.07037448284720962,0.01998649553391355,7
ht_birth_zscore,0.018461138901117596,0.03812317119642611,0.008026991071604964,7
ht_6m_zscore,0.0038232107759738924,0.0038461754796749797,5.6251806161869e-05,7
