transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
24m->36m,bmi,LinearRegression,5.0540711966406385e-15,1.302417553912245e-14,0.3815789473684211,0.5,0.19078947368421054,0.2761904761904762,76
24m->36m,bmi,SVR,0.3517150144252003,0.7122086794073902,0.39473684210526316,0.25,0.09868421052631579,0.14150943396226415,76
24m->36m,bmi,MLP,0.3514357526867185,0.4775540859203768,0.5263157894736842,0.25,0.13157894736842105,0.1724137931034483,76
24m->36m,bmi,XGBoost,0.06219184096791388,0.23414382139407874,0.618421052631579,0.3333333333333333,0.20614035087719298,0.25474254742547425,76
24m->36m,ht,LinearRegression,2.1685869474421644e-15,2.7825087503691145e-15,0.4868421052631579,0.5,0.24342105263157895,0.3274336283185841,76
24m->36m,ht,SVR,0.24103433659629903,0.36917092888482633,0.42105263157894735,0.25,0.10526315789473684,0.14814814814814814,76
24m->36m,ht,MLP,0.31304577602554745,0.43302726688783405,0.47368421052631576,0.25,0.11842105263157894,0.16071428571428573,76
24m->36m,ht,XGBoost,0.02173101026117936,0.06113319638149917,0.4868421052631579,0.5,0.24342105263157895,0.3274336283185841,76
24m->36m,wt,LinearRegression,1.068774698372484e-15,1.3713707562731433e-15,0.6266666666666667,0.5,0.31333333333333335,0.3852459016393443,75
24m->36m,wt,SVR,0.3474306991270189,0.5782200045336607,0.5466666666666666,0.25,0.13666666666666666,0.17672413793103448,75
24m->36m,wt,MLP,0.3293092734145014,0.5046797657684512,0.4266666666666667,0.25,0.10666666666666667,0.14953271028037382,75
24m->36m,wt,XGBoost,0.04829153856030837,0.07729295244588803,0.6,0.5,0.3,0.37499999999999994,75
