transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
birth->6m,bmi,LinearRegression,2.1891351492829298e-15,5.711167791251955e-15,0.4158415841584158,0.5,0.2079207920792079,0.2937062937062937,101
birth->6m,bmi,SVR,1.1573131797263672,6.212573091147824,0.43564356435643564,0.25,0.10891089108910891,0.15172413793103448,101
birth->6m,bmi,MLP,0.8341865371897947,4.997425971741027,0.45544554455445546,0.25,0.11386138613861387,0.1564625850340136,101
birth->6m,bmi,XGBoost,0.7070321636983119,5.4082254184037595,0.6336633663366337,0.3333333333333333,0.21122112211221122,0.2585858585858586,101
birth->6m,ht,LinearRegression,3.500500219721595e-15,1.2303096069088687e-14,0.43564356435643564,0.5,0.21782178217821782,0.30344827586206896,101
birth->6m,ht,SVR,0.47797215188292924,1.5971164010057755,0.4158415841584158,0.25,0.10396039603960396,0.14685314685314685,101
birth->6m,ht,MLP,0.27356093808319887,1.062137510647208,0.5643564356435643,0.25,0.14108910891089108,0.18037974683544303,101
birth->6m,ht,XGBoost,0.0858371459369224,0.5941324949120226,0.48514851485148514,0.25,0.12128712871287128,0.16333333333333333,101
birth->6m,wt,LinearRegression,9.600148646335212e-16,1.7526098039530196e-15,0.43564356435643564,0.5,0.21782178217821782,0.30344827586206896,101
birth->6m,wt,SVR,0.55348905560049,3.2724726714895844,0.45544554455445546,0.25,0.11386138613861387,0.1564625850340136,101
birth->6m,wt,MLP,0.5019801462551678,2.911558917453932,0.4752475247524752,0.25,0.1188118811881188,0.1610738255033557,101
birth->6m,wt,XGBoost,0.3459045115058815,2.8485725300127047,0.5544554455445545,0.3333333333333333,0.18481848184818483,0.237791932059448,101
6m->12m,bmi,LinearRegression,1.0602558350181544e-15,1.757096520132709e-15,0.5773195876288659,0.5,0.28865979381443296,0.3660130718954248,97
6m->12m,bmi,SVR,0.3101031546877966,0.7881609577022803,0.41237113402061853,0.25,0.10309278350515463,0.14598540145985403,97
6m->12m,bmi,MLP,0.2121627537575695,0.33170238922457895,0.44329896907216493,0.3333333333333333,0.14776632302405499,0.20476190476190473,97
6m->12m,bmi,XGBoost,0.050117980161680606,0.15743137481678537,0.711340206185567,0.3333333333333333,0.2371134020618557,0.27710843373493976,97
6m->12m,ht,LinearRegression,1.0584316928063027e-15,1.3163212342040005e-15,0.5257731958762887,0.5,0.26288659793814434,0.3445945945945946,97
6m->12m,ht,SVR,0.2700922095021324,0.6219776376513556,0.3711340206185567,0.25,0.09278350515463918,0.13533834586466165,97
